Brand,Name,PID,Image URL,Page URL,Time Rated,Rating,Price,Market Segment
Kilian,Angels' Share EAU DE PARFUM,142773,https://media.parfumo.com/perfumes/98/98e964-angels-share-kilian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Kilian/angels-share-eau-de-parfum,2 days ago,9.5,203.99,Niche
Parfums de Marly,Oajan,33851,https://media.parfumo.com/perfumes/e7/e7b793-oajan-parfums-de-marly_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Royal_Essence_Oajan,2 days ago,9.5,171.66,Niche
Xerjoff,Naxos,58692,https://media.parfumo.com/perfumes/87/87c77f_naxos-xerjoff_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Xerjoff/naxos,2 days ago,9,134,Niche
Tom Ford,Tobacco Vanille EAU DE PARFUM,3842,https://media.parfumo.com/perfumes/fb/fbeede-tobacco-vanille-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Tobacco_Vanille_Eau_de_Parfum,6 days ago,8.5,216,Private Blend
Kilian,Angels' Share Paradis,299857,https://media.parfumo.com/perfumes/56/5639e4-angels-share-paradis-kilian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Kilian/angels-share-paradis,2 days ago,8.5,285,Niche (New)
Hugo Boss,Boss Bottled Absolu,271114,https://media.parfumo.com/perfumes/94/941e60-boss-bottled-absolu-hugo-boss_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Hugo_Boss/boss-bottled-absolu,2 hours ago,8.5,68,Designer
Rayhaan,Pacific Aura,336073,https://media.parfumo.com/perfumes/e3/e3592d_pacific-aura-rayhaan_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/rayhaan/pacific-aura,2 days ago,8.5,35,Clone
Tom Ford,Lost Cherry EAU DE PARFUM,115898,https://media.parfumo.com/perfumes/cc/ccee25-lost-cherry-eau-de-parfum-tom-ford_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Tom_Ford/Lost_Cherry,19 hours ago,8.5,269,Private Blend
Maison Francis Kurkdjian,Grand Soir EAU DE PARFUM,76321,https://media.parfumo.com/perfumes/9a/9a8cb2-grand-soir-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/grand-soir-eau-de-parfum,2 days ago,8.5,151,Niche
Zimaya,Sharaf Blend,228269,https://media.parfumo.com/perfumes/6a/6a7478-sharaf-blend-zimaya_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/zimaya/sharaf-blend,5 days ago,8,25,Clone
Swiss Arabian,Shaghaf Vanilla Toffee,284863,https://media.parfumo.com/perfumes/f4/f4f1aa-shaghaf-vanilla-toffee-swiss-arabian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Swiss_Arabian/shaghaf-vanilla-toffee,2 days ago,8,37,Clone
Maison Francis Kurkdjian,Aqua Media Cologne Forte,211455,https://media.parfumo.com/perfumes/9a/9a81e0-aqua-media-cologne-forte-maison-francis-kurkdjian_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/aqua-media-cologne-forte,2 days ago,8,150,Niche
Dolce & Gabbana,The One for Men EAU DE PARFUM INTENSE,134887,https://media.parfumo.com/perfumes/0a/0a1662-the-one-for-men-eau-de-parfum-intense-dolce-gabbana_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-eau-de-parfum-intense,2 hours ago,8,60,
Giorgio Armani,Emporio Armani - Stronger With You Powerfully,372469,https://media.parfumo.com/perfumes/5f/5fbd25_emporio-armani-stronger-with-you-powerfully-giorgio-armani_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-powerfully,2 days ago,8,74,Designer
Initio,Side Effect,81846,https://media.parfumo.com/perfumes/5a/5a8309-side-effect-initio_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Initio/Side_Effect,2 hours ago,8,217,Niche
Louis Vuitton,Imagination,150441,https://media.parfumo.com/perfumes/b5/b5a991-imagination-louis-vuitton_1200.jpg?width=120&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Louis_Vuitton/imagination,2 days ago,8,220,Ultra-Luxury
